Scene,Mean_PSNR,Mean_SSIM,Gaussian_PSNR,Gaussian_SSIM,Median_PSNR,Median_SSIM,Images_Processed
L15-0331E-1257N_1327_3160_13,30.881789110570875,0.8951594322524176,35.5169355614439,0.9564109954665462,31.799809970415037,0.9071155411978892,25
L15-0357E-1223N_1429_3296_13,28.173942512091326,0.8582872056024022,32.91662386196521,0.9500020776836325,29.143529675195577,0.8793070865264894,25
L15-0358E-1220N_1433_3310_13,28.91349860944494,0.8578039242246659,33.56693555998955,0.9495782020482775,30.017880999394748,0.8807534914839409,24
L15-0361E-1300N_1446_2989_13,29.324511447945948,0.8879550043033014,34.17455159169468,0.9600435238278346,30.401282141118315,0.9055057902725152,24
L15-0368E-1245N_1474_3210_13,28.502761182677386,0.8537912692590668,33.39394872395882,0.9533810612166066,29.460874350892283,0.8780941170390227,24
L15-0387E-1276N_1549_3087_13,30.553785484981915,0.892244854816025,35.190468132036806,0.9597082744935367,31.978112270232973,0.9126471505164403,22
L15-0434E-1218N_1736_3318_13,35.007313458469106,0.9020223245244933,38.71446773007438,0.9515021091027814,35.91084488523198,0.906324538960406,25
L15-0457E-1135N_1831_3648_13,26.9937491825529,0.8301867506582372,31.73385275818715,0.9422603031374249,27.982438179583184,0.856310932428841,24
L15-0487E-1246N_1950_3207_13,30.89855714672051,0.898758025639706,35.60148925538731,0.9569241851286816,32.098513710103546,0.9112489318349098,25
L15-0506E-1204N_2027_3374_13,28.616593315997473,0.8628301963416813,33.48609387094674,0.9500369384501822,29.419435861241354,0.8785908282736937,24
L15-0544E-1228N_2176_3279_13,26.38468404624381,0.8366548014068352,31.317902511003847,0.9484871409263359,27.47105524744438,0.8635637974603904,24
L15-0566E-1185N_2265_3451_13,31.680657517036725,0.831969956386051,35.93350978070513,0.9280171135434303,32.81590523916835,0.8418425191413015,21
L15-0571E-1075N_2287_3888_13,25.974010466044046,0.8134986177704722,30.567047160106778,0.9346980643946858,26.790321447151353,0.83844980716624,20
L15-0577E-1243N_2309_3217_13,27.627503643381676,0.8581767223689625,32.446932283529996,0.9511328169401176,28.631670350806086,0.8792542832478868,21
L15-0586E-1127N_2345_3680_13,28.02019452861571,0.8557151063744917,32.539117863204964,0.9435753836592508,28.977715716063162,0.8747014616435416,25
L15-0595E-1278N_2383_3079_13,29.701830144170327,0.8776797420054402,34.43865039980696,0.9545378453844516,30.906756787172345,0.89620094999085,25
L15-0614E-0946N_2459_4406_13,26.354746268361605,0.8105120723603941,30.974648817257748,0.936546152739085,26.921975215756966,0.8337002843698377,21
L15-0632E-0892N_2528_4620_13,34.16151199604581,0.9031360930050328,37.99028426857979,0.9534519059973929,34.867536925861884,0.9094989360081103,25
L15-0683E-1006N_2732_4164_13,27.31314272420985,0.8235378220400906,31.887277904175736,0.9307884480577395,27.813547699545335,0.8348603134722776,22
L15-0760E-0887N_3041_4643_13,28.04781834525056,0.8548962345352626,32.72813882493965,0.9449547606704962,28.904008198603055,0.8712763989520401,25
L15-0924E-1108N_3699_3757_13,32.33236868518117,0.8834602309576536,36.381327468540086,0.9442679498355906,32.91351434043872,0.8902278026259209,23
L15-0977E-1187N_3911_3441_13,38.56308215206998,0.9403972938141857,40.82680684558536,0.9584877118767997,38.64821206423567,0.9375616481392592,25
L15-1014E-1375N_4056_2688_13,30.013195734310603,0.8813125396169306,34.66479107033214,0.9565104939414671,30.985310766391056,0.8962875416638217,24
L15-1015E-1062N_4061_3941_13,30.79244471961349,0.8938548428685331,35.23097452582584,0.9531844640907757,31.277661773207733,0.9012101170217197,18
L15-1025E-1366N_4102_2726_13,30.578676425362133,0.8901532170768252,35.2568154742278,0.9569057333136982,31.707368726827678,0.9053134775640022,24
AVERAGE,29.816494753893995,0.8677597712083663,34.299183689740254,0.9490157462370727,30.713811301683307,0.883593909880054,585
