Scene,Filename,Mean_PSNR,Mean_SSIM,Gaussian_PSNR,Gaussian_SSIM,Median_PSNR,Median_SSIM
L15-0331E-1257N_1327_3160_13,global_monthly_2018_01_mosaic_L15-0331E-1257N_1327_3160_13.tif,31.676922792523804,0.9049066993043318,36.14527087194058,0.9563406296512441,32.19626979135442,0.912603018155098
L15-0331E-1257N_1327_3160_13,global_monthly_2018_02_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.119431183797005,0.8956091715953066,34.853703819001325,0.9572028595085469,31.176739706161875,0.9100445997844148
L15-0331E-1257N_1327_3160_13,global_monthly_2018_03_mosaic_L15-0331E-1257N_1327_3160_13.tif,31.997715175009848,0.9242108450073492,36.63664251852194,0.9657119490821097,33.122986547215426,0.9331312331564741
L15-0331E-1257N_1327_3160_13,global_monthly_2018_04_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.52845355448516,0.9117501071334442,35.365044496119424,0.9628172399267684,31.852303191790018,0.9253033393742093
L15-0331E-1257N_1327_3160_13,global_monthly_2018_05_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.761396724720413,0.8900525916782096,35.460335829701485,0.9573716029884312,31.746274780531426,0.9044223146592317
L15-0331E-1257N_1327_3160_13,global_monthly_2018_06_mosaic_L15-0331E-1257N_1327_3160_13.tif,33.40893656715595,0.9155984919549818,37.77609442256044,0.9627323138170426,34.28640488897139,0.9235822060532672
L15-0331E-1257N_1327_3160_13,global_monthly_2018_07_mosaic_L15-0331E-1257N_1327_3160_13.tif,31.402056072879525,0.8974071431960055,36.00636705051067,0.958051527994967,32.364015880261114,0.9089565087997492
L15-0331E-1257N_1327_3160_13,global_monthly_2018_08_mosaic_L15-0331E-1257N_1327_3160_13.tif,31.66425932471929,0.9010178226924743,36.26761051037728,0.9583055774108876,32.73927090324659,0.9120415472290685
L15-0331E-1257N_1327_3160_13,global_monthly_2018_09_mosaic_L15-0331E-1257N_1327_3160_13.tif,32.75895074250685,0.9068963047998113,37.16960884710633,0.9591323012676775,33.617006330967186,0.9150494193578786
L15-0331E-1257N_1327_3160_13,global_monthly_2018_10_mosaic_L15-0331E-1257N_1327_3160_13.tif,30.910210736480586,0.8961846280425023,35.56830694512806,0.9576795095943414,31.910939044861657,0.9085261964293272
L15-0331E-1257N_1327_3160_13,global_monthly_2018_11_mosaic_L15-0331E-1257N_1327_3160_13.tif,32.69169272661642,0.9046395603780616,37.059116432563485,0.9581011769720236,33.4385013283747,0.9130458355828385
L15-0331E-1257N_1327_3160_13,global_monthly_2018_12_mosaic_L15-0331E-1257N_1327_3160_13.tif,28.928977082612995,0.8763549588802257,33.687829475759486,0.9498213817504977,29.753003173645535,0.8910012030510668
